key,match_done,dist,match_that_should_be_done
embargoDuration,onsetDateTime,1.0288302497460828,[]
dataAccessRoles,data,0.6905945307275897,[]
embargoRoles,requirements,1.0506550084886637,[]
note,comment,0.8273560534352276,[]
endDate,date,0.4465216336144395,['period.end']
embargoStartDate,date,0.671720752380036,[]
ror,carrierHRF,1.0390941758142476,[]
doi,url,1.0376638689780278,[]
calibration,data,0.965133108441562,[]
dataPolicyUrl,referencePolicy,0.6725909136911823,[]
label,label,0.0,[]
language,expression,0.9140153594712396,[]
concept,definition,0.8159261357270118,['category.coding.code']
documentRating,documentation,0.9466395614909716,[]
shortName,sliceName,0.545656116562365,[]
orbit,path,1.0554088463154452,[]
cfStandardName,name,0.7814659443229632,[]
datasetChangelogs,data,0.7657333668073826,[]
organisations,country,1.0660726988068068,[]
status,status,0.0,[]
title,title,0.0,[]
modifications,requirements,0.9040493951930072,[]
version,version,0.0,[]
street,city,0.8792686613375309,[]
firstName,name,0.5105609124460498,[]
resourceType,resourceType,0.0,[]
type,type,0.0,[]
genealogy,family,0.9291207091126006,[]
lastName,name,0.5176234025551044,[]
resolution,representation,1.019480346760119,[]
codeSpace,valueCode,0.518900286912847,['identifier.type.coding.system']
authenticationNeeded,mustSupport,0.9909057395448466,[]
dataPolicyName,referencePolicy,0.6405431678705569,[]
temporalExtents,valueCanonical,0.986351402120862,[]
accessConstraints,requirements,0.9451269382880728,[]
projection,map,0.9802750451058064,[]
en,op,1.0298690374436237,[]
clientTemplateName,name,0.7205948080423016,[]
journalName,nameUrl,0.5603364126831312,[]
code,code,0.0,[]
model,modelNumber,0.5713171422681316,[]
fr,op,1.069833422452673,[]
beginDate,date,0.5106293276660804,['period.start']
dataLevel,data,0.5252729041276828,[]
datasetVersions,data,0.6919004321362784,[]
dataPolicyReminder,referencePolicy,0.6727935542479353,[]
processLevel,system,0.9077206952502904,[]
filterDescription,description,0.566212889271497,[]
northLatitude,latitude,0.5271407443457985,[]
datasetRevisionDate,date,0.7506860177376082,[]
visibility,value,0.9218065683225992,[]
orcId,id,0.6202282911476242,[]
webSiteUrl,url,0.6772778505188944,[]
email,address,0.9835465726129676,[]
datasetPublicationDate,date,0.7315148260179984,[]
eastLongitude,longitude,0.5474779721721693,[]
journalSection,isSummary,0.9877114281771404,[]
southLatitude,latitude,0.542097063130888,[]
latitude,latitude,0.0,['position.latitude']
nameType,type,0.4698228996915652,[]
editFields,contentType,1.000270770902796,[]
datasetCreationDate,date,0.7547723830969512,[]
organisation,country,0.993496451473037,[]
value,value,0.0,[]
doc_id,doc_id,0.0,['doc_id']
registrationNeeded,supportedProfile,0.994476013041624,[]
dataCenter,data,0.5548319965033128,[]
name,name,0.0,['deviceName.name']
catalogueMode,mode,0.5664461188258528,[]
thesaurusCode,code,0.5999423547991443,[]
licenceVersion,version,0.5431366143022972,[]
city,city,0.0,[]
url,url,0.0,[]
date,date,0.0,['date']
description,description,0.0,[]
sites,multipleAnd,1.0146137976774292,[]
datasetLanguage,valueSet,0.6847596375091423,[]
programName,name,0.5427908132297554,[]
identifier,deviceIdentifier,0.5283626619073403,['identifier.value']
dataPolicyVersion,referencePolicy,0.6800243391505243,[]
manufacturer,manufacturer,0.0,[]
spatialRepresentation,representation,0.5042664695872424,[]
metadataLevel,data,0.94932046690092,[]
collectionName,name,0.5408292557543113,[]
longitude,longitude,0.0,['position.longitude']
altitude,latitude,0.9799556556482094,[]
publicationYear,date,0.927679778316546,[]
projects,documentation,0.9948085038471788,[]
postalCode,postalCode,0.0,[]
licenceName,name,0.5267898062189039,['licence']
DEFAULT_VALUE_KEY,value,0.6446960013772179,[]
longName,sliceName,0.5738604839088934,[]
licencePolicyUrl,referencePolicy,0.7043903014359284,[]
parameters,data,0.9134477326858104,[]
uom,xpath,1.0518831823374624,[]
westLongitude,longitude,0.5470325735091155,[]
catalogueName,name,0.5356466613809738,[]
roles,requirements,0.9658911076354822,[]
instruments,data,1.0051031745139374,[]
origin,identity,0.8641644149853447,[]
authors,publisher,0.9272838225586728,[]
comment,comment,0.0,[]
platforms,system,1.022292667550276,[]
additionalData,data,0.5333752783800966,[]
country,country,0.0,[]
serialNumber,serialNumber,0.0,[]
site,base,0.926641375755977,[]
aerisDataCenter,data,0.7667093120770772,['identifier.system']
plateforms,type,1.0043177868298525,[]
useConstraints,use,0.5529630898841076,[]
