key,match,dist
resourceType,resourceType,0.8081234
serialNumber,serialNumber,0.8081234
manufacturer,manufacturer,0.8081234
version,version,0.80432016
comment,comment,0.8033965
doc_id,doc_id,0.8033965
status,status,0.8033965
title,title,0.80240446
date,date,0.8013361
url,url,0.8001823
identifier,identifier.use,0.63585454
description,description.text,0.635021
parameters,parameter.max,0.60754544
parameters,parameter.name,0.60754544
parameters,parameter.min,0.60754544
parameters,parameter.use,0.60754544
postalCode,address.postalCode,0.59407115
country,count,0.59268224
authors,authored,0.59088695
name,name.use,0.5891108
concept,concept.code,0.5812514
code,code.coding.code,0.57509756
value,valueSet,0.5707285
longitude,position.longitude,0.5676879
licenceName,license,0.5544211
latitude,position.latitude,0.5516965
spatialRepresentation,snapshot.element.representation,0.5281728
type,type.text,0.51768225
datasetCreationDate,expirationDate,0.5149567
note,note.text,0.50297636
city,address.city,0.4718489
city,criticality,0.46867466
resolution,rest.documentation,0.46559894
publicationYear,publisher,0.46358562
modifications,verificationStatus.text,0.44473922
instruments,instantiates,0.42954654
useConstraints,snapshot.element.constraint.key,0.4154095
genealogy,gender,0.4075685
origin,chain,0.39533377
language,xpathUsage,0.38590074
metadataLevel,meta.lastUpdated,0.38238233
ror,multipleOr,0.38062084
label,snapshot.element.example.label,0.36916354
platforms,patchFormat,0.3639124
platforms,performer.display,0.3635156
projects,property.uri,0.36143225
orbit,item.text,0.35200766
