key,match,dist
date.CI_Date.dateType.CI_DateTypeCode.codeList,datasetSpecification.datasetRevisionDate,5.9149117
MD_Metadata.language.LanguageCode.codeList,parameterSet.thesaurusCode,2.9100254
MD_Metadata.dateStamp.DateTime.@value,formats.temporalInterval.endDate,2.9184618
pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeList,instrumentSet.description.DEFAULT_VALUE_KEY,5.8715487
MD_Metadata.metadataStandardVersion.CharacterString.@value,formats.description.DEFAULT_VALUE_KEY,2.580685
identificationInfo.MD_DataIdentification.characterSet.MD_CharacterSetCode.codeList,datasetSpecification.datasetRevisionDate,4.9250846
phone.CI_Telephone.facsimile.CharacterString.@value,contacts.address.postalCode,2.8874848
identificationInfo.MD_DataIdentification.language.LanguageCode.codeList,datasetSpecification.datasetLanguage,4.0761275
identificationInfo.MD_DataIdentification.characterSet.MD_CharacterSetCode.codeListValue,datasetSpecification.datasetRevisionDate,5.356501
graphicOverview.MD_BrowseGraphic.fileName.CharacterString.@value,instrumentSet.description.DEFAULT_VALUE_KEY,3.7117317
scope.DQ_Scope.level.MD_ScopeCode.codeList,contacts.orcId,6.1056976
citation.CI_Citation.title.CharacterString.@value,parameterSet.cfStandardName,2.8294497
resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeList,datasetSpecification.datasetRevisionDate,5.131801
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeListValue,datasetSpecification.datasetRevisionDate,5.3455453
identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.uuid,parameterSet.uom,7.1262693
scope.DQ_Scope.level.MD_ScopeCode.codeListValue,contacts.orcId,6.6145554
pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeListValue,instrumentSet.description.DEFAULT_VALUE_KEY,6.265253
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeListValue,parameterSet.thesaurusCode,4.800908
geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeList,datasetSpecification.datasetCreationDate,6.8942204
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeList,parameterSet.thesaurusCode,4.3361554
identificationInfo.MD_DataIdentification.credit.CharacterString.@value,distributionInformation.description.DEFAULT_VALUE_KEY,2.9546268
identificationInfo.MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeListValue,datasetSpecification.datasetCreationDate,6.5750947
resourceConstraints.MD_LegalConstraints.useLimitation.CharacterString.@value,temporalExtents.comment.DEFAULT_VALUE_KEY,3.045042
spatialResolution.MD_Resolution.distance.Distance.uom,parameterSet.uom,2.919093
date.CI_Date.dateType.CI_DateTypeCode.codeListValue,datasetSpecification.datasetRevisionDate,6.2792225
phone.CI_Telephone.voice.CharacterString.@value,contacts.comment.DEFAULT_VALUE_KEY,3.0032375
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeListValue,instrumentSet.description.DEFAULT_VALUE_KEY,6.007151
MD_Metadata.metadataStandardName.CharacterString.@value,formats.description.DEFAULT_VALUE_KEY,2.7600198
onLine.CI_OnlineResource.function.CI_OnLineFunctionCode.codeListValue,datasetSpecification.datasetRevisionDate,6.291328
identifier.MD_Identifier.code.Anchor.href,identifiers.codeSpace,3.0314357
pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value,instrumentSet.description.DEFAULT_VALUE_KEY,3.8601432
identificationInfo.MD_DataIdentification.abstract.CharacterString.@value,distributionInformation.dataPolicyUrl,2.908499
geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,temporalExtents.comment.DEFAULT_VALUE_KEY,4.159285
geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeListValue,datasetSpecification.datasetCreationDate,7.3302846
MD_Metadata.characterSet.MD_CharacterSetCode.codeListValue,datasetSpecification.datasetRevisionDate,4.5526857
temporalElement.EX_TemporalExtent.extent.TimePeriod.id,temporalExtents.comment.DEFAULT_VALUE_KEY,3.603632
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,datasetSpecification.datasetRevisionDate,5.1003065
geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,temporalExtents.comment.DEFAULT_VALUE_KEY,4.1573644
MD_Metadata.characterSet.MD_CharacterSetCode.codeList,datasetSpecification.datasetRevisionDate,4.312757
resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeListValue,datasetSpecification.datasetRevisionDate,5.401997
geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,temporalExtents.comment.DEFAULT_VALUE_KEY,3.991278
pointOfContact.CI_ResponsibleParty.organisationName.CharacterString.@value,instrumentSet.description.DEFAULT_VALUE_KEY,3.811237
identifier.MD_Identifier.code.Anchor.@value,identifiers.codeSpace,2.5898976
onLine.CI_OnlineResource.name.CharacterString.@value,distributionInformation.description.DEFAULT_VALUE_KEY,2.970373
